## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/meDIP/results/04_filtered/TES-2-IP_filtered_rg.bam] OUTPUT=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/meDIP/results/04_filtered/TES-2-IP_filtered_markdup.bam METRICS_FILE=/beegfs/scratch/ric.sessa/kubacki.michal/SRF_Eva_top/meDIP/results/04_filtered/TES-2-IP_dup_metrics.txt REMOVE_DUPLICATES=false ASSUME_SORT_ORDER=coordinate VALIDATION_STRINGENCY=LENIENT CREATE_INDEX=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Dec 08 23:31:35 CET 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
TES-2-IP	0	14633797	0	0	0	6871352	28726	0.469554	10197224

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000882	4182157	0	4190085
2.0	1.23919	1851365	28452	1850723
3.0	1.29593	890065	137	888089
4.0	1.30944	439316	0	437532
5.0	1.312656	215049	0	213683
6.0	1.313422	102623	0	101709
7.0	1.313604	47147	0	46585
8.0	1.313648	20669	0	20300
9.0	1.313658	8578	0	8417
10.0	1.313661	3462	0	3375
11.0	1.313661	1289	0	1258
12.0	1.313661	457	0	432
13.0	1.313661	190	0	181
14.0	1.313661	50	0	49
15.0	1.313661	21	0	20
16.0	1.313661	4	0	4
17.0	1.313661	1	0	1
18.0	1.313661	2	0	2
19.0	1.313661	0	0	0
20.0	1.313661	0	0	0
21.0	1.313661	0	0	0
22.0	1.313661	0	0	0
23.0	1.313661	0	0	0
24.0	1.313661	0	0	0
25.0	1.313661	0	0	0
26.0	1.313661	0	0	0
27.0	1.313661	0	0	0
28.0	1.313661	0	0	0
29.0	1.313661	0	0	0
30.0	1.313661	0	0	0
31.0	1.313661	0	0	0
32.0	1.313661	0	0	0
33.0	1.313661	0	0	0
34.0	1.313661	0	0	0
35.0	1.313661	0	0	0
36.0	1.313661	0	0	0
37.0	1.313661	0	0	0
38.0	1.313661	0	0	0
39.0	1.313661	0	0	0
40.0	1.313661	0	0	0
41.0	1.313661	0	0	0
42.0	1.313661	0	0	0
43.0	1.313661	0	0	0
44.0	1.313661	0	0	0
45.0	1.313661	0	0	0
46.0	1.313661	0	0	0
47.0	1.313661	0	0	0
48.0	1.313661	0	0	0
49.0	1.313661	0	0	0
50.0	1.313661	0	0	0
51.0	1.313661	0	0	0
52.0	1.313661	0	0	0
53.0	1.313661	0	0	0
54.0	1.313661	0	0	0
55.0	1.313661	0	0	0
56.0	1.313661	0	0	0
57.0	1.313661	0	0	0
58.0	1.313661	0	0	0
59.0	1.313661	0	0	0
60.0	1.313661	0	0	0
61.0	1.313661	0	0	0
62.0	1.313661	0	0	0
63.0	1.313661	0	0	0
64.0	1.313661	0	0	0
65.0	1.313661	0	0	0
66.0	1.313661	0	0	0
67.0	1.313661	0	0	0
68.0	1.313661	0	0	0
69.0	1.313661	0	0	0
70.0	1.313661	0	0	0
71.0	1.313661	0	0	0
72.0	1.313661	0	0	0
73.0	1.313661	0	0	0
74.0	1.313661	0	0	0
75.0	1.313661	0	0	0
76.0	1.313661	0	0	0
77.0	1.313661	0	0	0
78.0	1.313661	0	0	0
79.0	1.313661	0	0	0
80.0	1.313661	0	0	0
81.0	1.313661	0	0	0
82.0	1.313661	0	0	0
83.0	1.313661	0	0	0
84.0	1.313661	0	0	0
85.0	1.313661	0	0	0
86.0	1.313661	0	0	0
87.0	1.313661	0	0	0
88.0	1.313661	0	0	0
89.0	1.313661	0	0	0
90.0	1.313661	0	0	0
91.0	1.313661	0	0	0
92.0	1.313661	0	0	0
93.0	1.313661	0	0	0
94.0	1.313661	0	0	0
95.0	1.313661	0	0	0
96.0	1.313661	0	0	0
97.0	1.313661	0	0	0
98.0	1.313661	0	0	0
99.0	1.313661	0	0	0
100.0	1.313661	0	0	0

